Flow;Area;Perim.;Circularity;Major;Minor;Aspect.Ratio;Angle;cellComment;Comment
1;484.333;97.439;0.641;39.141;15.755;2.484;47.828;;"Flow1 :30 dyne/cm^2
Flow2: 2 dyne/cm^2
Flow3: 80 dyne/cm^2"
1;1503.542;229.768;0.358;84.173;22.743;3.701;91.758;change;
1;764.875;156.603;0.392;67.698;14.385;4.706;95.449;change;
1;1078.695;184.491;0.398;69.607;19.731;3.528;74.426;change;
1;957.31;222.854;0.242;85.584;14.242;6.009;59.938;change;
1;973.042;209.294;0.279;79.932;15.5;5.157;87.843;change;
1;831.256;174.795;0.342;72.435;14.612;4.957;77.436;change;
1;722.778;137.852;0.478;50.052;18.386;2.722;93.906;change;
1;1256.417;187.51;0.449;82.218;19.457;4.226;75.493;change;
1;755.341;222.292;0.192;67.03;14.348;4.672;87.295;change;
1;1210.947;190.563;0.419;79.439;19.409;4.093;123.865;change;
1;1168.811;219.478;0.305;93.266;15.956;5.845;109.079;change;
1;1155.629;206.224;0.341;93.562;15.726;5.949;103.473;change;
1;647.021;142.125;0.403;56.329;14.625;3.852;112.149;change;
1;852.677;152.228;0.462;65.407;16.599;3.941;90.305;change;
1;1234.643;179.441;0.482;61.712;25.473;2.423;87.673;change;
1;895.872;207.011;0.263;88.771;12.849;6.909;102.764;change;
1;934.829;225.126;0.232;93.642;12.711;7.367;88.905;change;
1;488.679;121.095;0.419;42.255;14.725;2.87;93.809;change;
1;838.435;129.032;0.633;49.543;21.548;2.299;113.719;change;
1;1391.53361;230.78736;0.32831;100.85056;17.56813;5.74054;82.5437;change;
1;643.88197;122.21523;0.54171;43.40758;18.88647;2.29834;60.4139;change;
1;855.7761;242.36342;0.18308;88.70912;12.28293;7.22215;90.2691;change;
1;723.79835;289.73308;0.10835;80.77476;11.40912;7.07984;74.97837;change;
1;808.658;228.86522;0.19401;92.68785;11.10842;8.34393;75.30635;change;
1;1597.03286;255.13454;0.30831;107.51035;18.91358;5.68429;89.48953;change;
1;700.92586;162.62184;0.33306;64.9307;13.7446;4.72409;82.94755;change;
1;1015.76595;207.65362;0.29602;79.60276;16.24709;4.89951;89.26078;change;
1;964.44998;197.09006;0.312;89.45617;13.72712;6.51675;95.15998;change;
1;833.9238;197.27879;0.26926;76.70448;13.84254;5.54121;108.28695;change;
1;909.68155;216.2701;0.2444;85.0904;13.61191;6.25117;81.97891;change;
1;1354.93001;249.87718;0.27269;93.69038;18.41332;5.08819;86.7749;change;
1;1074.22222;193.60961;0.36012;72.52364;18.85926;3.84552;93.35581;change;
1;895.24403;219.67479;0.23313;75.74516;15.04862;5.03336;96.24065;change;
1;979.08366;181.35046;0.3741;70.05768;17.79402;3.93715;114.23489;change;
1;1556.5058;252.36932;0.30711;115.62899;17.13934;6.74641;74.32653;change;
1;1600.44608;281.50298;0.2538;135.599;15.02777;9.02323;83.3992;change;
1;1555.60346;200.63493;0.48562;67.28943;29.43487;2.28604;69.07483;change;
1;931.21999;165.16189;0.42899;68.23346;17.37661;3.92674;124.15254;change;
1;600.09862;164.18428;0.27975;72.90292;10.48064;6.95596;81.80201;change;
1;1619.31686;228.29105;0.39045;104.71981;19.68852;5.31883;106.46031;change;
1;1732.58077;239.85144;0.37846;88.75506;24.85481;3.57094;100.43872;change;
1;984.22294;181.72697;0.37451;72.32169;17.32747;4.17382;74.17382;change;
1;1200.15801;247.24196;0.24672;105.068;14.54381;7.22424;83.54648;change;
1;1662.47249;247.60463;0.34076;95.49356;22.16616;4.30808;85.0798;change;
1;1438.61247;241.25918;0.31059;109.61098;16.7109;6.55925;74.14437;change;
1;824.1548;138.88171;0.53694;60.06119;17.47129;3.43771;109.87549;change;
1;499.70294;123.82922;0.40952;53.2114;11.95687;4.45028;70.52297;change;
1;1246.25607;164.23575;0.58061;68.15459;23.28211;2.92734;95.8121;change;
1;588.28967;114.39828;0.56489;43.6941;17.14267;2.54885;114.28128;change;
1;545.64407;142.72483;0.3366;59.82637;11.61253;5.15188;92.6514;change;
1;1827.87624;282.78851;0.28723;115.48502;20.15261;5.73052;81.02072;change;
1;557.9238;143.21082;0.34185;67.53128;10.51914;6.41985;79.54835;change;
1;1018.51205;191.20105;0.3501;71.15809;18.22435;3.90456;117.22604;change;
1;1168.26208;189.83185;0.40739;77.15993;19.27785;4.00252;90.59628;change;
1;884.21958;158.21047;0.44391;71.24596;15.80193;4.50869;74.8873;change;
1;879.31554;182.07684;0.33331;83.70846;13.37474;6.2587;89.60247;change;
1;868.44816;168.22706;0.38562;75.88458;14.57137;5.20778;87.18125;change;
