"Comment";"FlowWords";"Flow";"cellComment";"DiscNumber";"Area";"Mean";"StdDev";"Mode";"Min";"Max";"X";"Y";"XM";"YM";"Perim.";"BX";"BY";"Width";"Height";"Major";"Minor";"Angle";"Circularity";"Feret";"IntDen";"Median";"Skew";"Kurt";"%Area";"RawIntDen";"Slice";"FeretX";"FeretY";"FeretAngle";"MinFeret";"Aspect.Ratio";"Roundness";"Solidity"
;;0;2;"MAX_Static 03.11.2016 C.lif - Series008.tif:3";2201.32008;22.80581;28.1194;10;0;255;148.8993;108.49377;147.74229;108.36197;240.26601;110.76232;81.93048;85.05393;55.02076;65.1917;42.99332;160.64085;0.47919;86.51954;50202.89021;15;4.80433;29.21823;99.05856;869654;3;110.76232;106.43754;169.43899;49.66585;1.51632;0.65949;0.81612
;;0;3;"MAX_Static 03.11.2016 C.lif - Series008.tif:3";1555.86969;255;0;255;255;255;157.1023;165.74665;157.1023;165.74665;165.14727;124.45744;144.88;67.99509;45.16988;54.4274;36.39702;3.60791;0.71687;68.25988;396746.7703;255;"NaN";"NaN";100;6872760;3;124.45744;165.78308;5.04836;39.42257;1.49538;0.66873;1
;;0;4;"MAX_Static 03.11.2016 C.lif - Series008.tif:3";4097.43524;26.87513;31.99562;14;0;255;186.42514;84.2888;185.97305;83.32077;270.1623;133.10699;41.80617;99.46985;80.00836;100.47821;51.92187;147.32609;0.70546;102.726;110119.1132;19;4.57834;24.86712;99.75204;1907570;3;133.10699;67.27429;159.31848;53.46616;1.93518;0.51675;0.92533
;;0;5;"MAX_Static 03.11.2016 C.lif - Series008.tif:3";2295.12715;172.05632;109.34928;255;0;255;84.77612;175.00959;78.62671;172.58458;204.89402;43.96856;151.60742;84.81366;42.04643;81.15547;36.00801;0.38127;0.687;85.50003;394891.122;255;-0.61171;-1.56361;99.80884;6840615;3;43.96856;179.23794;7.26481;41.61316;2.25382;0.44369;0.94043
;;0;6;"MAX_Static 03.11.2016 C.lif - Series008.tif:3";1704.22918;30.50156;38.96496;14;0;255;184.6193;139.1153;186.99542;138.40658;165.88809;149.44504;118.93134;65.59244;41.32564;61.08601;35.52191;2.52052;0.77823;66.19212;51981.64551;19;3.68713;15.10056;99.68837;900467;3;149.44504;135.50965;172.28167;39.46715;1.71967;0.58151;1.00002
;;0;7;"MAX_Static 03.11.2016 C.lif - Series008.tif:1";2671.39454;255;0;255;255;255;135.48184;35.18172;135.48184;35.18172;205.80117;93.46321;2.16239;74.96278;67.03403;66.26365;51.33018;25.2502;0.7926;75.84473;681205.6078;255;"NaN";"NaN";100;11800380;1;93.46321;35.55927;8.74616;50.18625;1.29093;0.77464;1.00002
"20161006nonconfocal";;0;1;"E2_CD31.tif";"NA";14.78204;37.04745;0;0;255;1.55057;2.38442;1.65883;2.2959;7.31605;0.13333;1.41333;2.58667;1.74667;2.1949;1.35426;17.05084;0.54811;2.59247;34.50982;0;3.11888;10.42021;25.88524;776471;1;0.13333;2.56;3.83368;1.46342;1.62073;0.61701;0.84816
;;0;2;"E2_CD31.tif";"NA";26.9067;49.64439;0;0;255;3.12894;3.03327;3.24914;3.10345;4.45854;2.54;2.29333;1.12;1.49333;1.4866;1.11224;82.29671;0.82093;1.52118;34.94164;1;2.4595;6.12037;53.00318;786187;1;2.80667;3.70667;65.11963;1.12;1.33659;0.74817;0.95185
;;0;3;"E2_CD31.tif";"NA";23.52235;42.266;0;0;255;4.15195;1.8597;4.2093;2.01848;6.14307;3.56;0.28;1.11333;2.6;2.36847;0.73225;74.29071;0.45359;2.65414;32.04058;4;2.4752;6.20168;67.95549;720913;1;4.08;2.88;78.40782;0.91684;3.2345;0.30917;0.85323
;;0;4;"E2_CD31.tif";"NA";29.84037;55.75283;0;0;255;4.04582;3.55021;4.09497;3.39925;5.60432;3.47333;2.69333;1.22;1.98;1.82825;1.02108;79.91316;0.58661;2.05125;43.75129;1;2.37742;5.43586;55.23963;984404;1;3.68;2.7;105.84308;1.12381;1.7905;0.5585;0.82844
;;0;5;"E2_CD31.tif";"NA";255;0;255;255;255;4.95536;3.34011;4.95536;3.34011;7.52767;4.18667;2.13333;1.52667;2.70667;2.76754;1.12822;70.64392;0.54383;2.86559;625.33933;255;"NaN";"NaN";100;14070135;1;4.41333;4.84;70.42687;1.38487;2.45302;0.40766;0.84132
;;0;6;"E2_CD31.tif";"NA";27.518;61.47058;0;0;255;5.67692;4.35378;5.80478;3.95938;7.68537;4.65333;2.97333;1.89333;2.72;2.82142;1.38311;64.33651;0.65207;2.86211;84.3396;0;2.52989;5.50625;35.20302;1897641;1;5.52667;5.66;69.83446;1.50794;2.0399;0.49022;0.92526
;;0;7;"E2_CD31.tif";"NA";38.09227;54.55238;0;0;255;6.16515;2.37378;6.10852;2.47201;4.24487;5.66667;1.56;0.96;1.59333;1.74033;0.73122;69.87888;0.69703;1.68457;38.07196;16;2.2851;5.14396;87.52668;856619;1;5.82;3.14667;63.94198;0.76403;2.38003;0.42016;0.93128
;;0;8;"E2_CD31.tif";"NA";16.51992;42.24653;0;0;255;3.25066;5.01215;3.2661;5.03503;6.32993;2.69333;3.71333;1.38667;2.38667;2.299;1.13699;99.28468;0.64387;2.41569;33.91502;0;3.19657;10.69235;25.61699;763088;1;2.92;3.71333;117.97947;1.24316;2.02201;0.49456;0.90665
;;0;9;"E2_CD31.tif";"NA";17.57922;41.96629;0;0;255;7.10526;4.83944;6.95343;4.89708;10.03903;5.66667;3.16667;2.46667;2.84667;3.05675;1.49445;54.1492;0.44736;3.42316;63.07111;0;3.56459;14.21235;43.96972;1419100;1;5.66667;5.76667;49.42291;1.65776;2.0454;0.4889;0.8746
;;0;10;"E2_CD31.tif";"NA";22.74229;54.48728;0;0;255;1.78735;3.41594;1.63509;3.2519;6.3436;0.61333;2.62667;2.12;1.49333;1.87818;1.25504;4.05576;0.57813;2.30053;42.10356;0;2.98934;8.70501;30.45493;947330;1;0.61333;2.76;157.15024;1.42831;1.49652;0.66822;0.78758
;;0;11;"E2_CD31.tif";"NA";20.52928;59.12239;0;0;255;2.23451;4.59618;2.40795;4.46105;5.64225;1.38667;3.72;1.50667;1.81333;1.72907;1.34478;86.63421;0.72087;1.90895;37.49102;0;3.32114;9.98925;22.29009;843548;1;2.18667;5.49333;68.2729;1.48676;1.28577;0.77775;0.9331
